Y,X/Z	1,1	1,2	1,3	1,4	1,5	1,6	1,7	1,8	1,9	1,10	2,1	2,2	2,3	2,4	2,5	2,6	2,7	2,8	2,9	2,10	3,1	3,2	3,3	3,4	3,5	3,6	3,7	3,8	3,9	3,10	4,1	4,2	4,3	4,4	4,5	4,6	4,7	4,8	4,9	4,10	5,1	5,2	5,3	5,4	5,5	5,6	5,7	5,8	5,9	5,10	6,1	6,2	6,3	6,4	6,5	6,6	6,7	6,8	6,9	6,10	7,1	7,2	7,3	7,4	7,5	7,6	7,7	7,8	7,9	7,10
4	SS104_210/1479547800	SS104_214/1479547800	SS104_218/1479547800	SS104_222/1479547800	SS104_226/1479547800	SS104_230/1479547800	SS104_234/1479547800	SS104_238/1479547800	SS104_242/1479547800	SS104_246/1479547800	SS104_250/1479547800	SS104_254/1479547800	SS104_258/1479547800	SS104_262/1479547800	SS104_266/1479547800	SS104_270/1479547800	SS104_274/1479547800	SS104_278/1479547800	SS104.F10_42/1479547800	SS104.F10_46/1479547800	SS104.F10_50/1479547800	SS104.F10_54/1479547800	SS104.F10_58/1479547800	SS104.F10_62/1479547800	SS104.F10_66/1479547800	SS104.F10_70/1479547800	SS104.F10_74/1479547800	SS104.F10_78/1479547800	SS104.F10_82/1479547800	SS104.F10_86/1479547800	SS104.F10_90/1479547800	SS104.F10_94/1479547800	SS104.F10_98/1479547800	SS104.F10_102/1479547800	SS104.F10_106/1479547800	CK10.F10_1/1479547800	CK10.F10_5/1479547800	CK10.F10_9/1479547800	CK10.F10_13/1479547800	CK10.F10_17/1479547800	CK10.F10_21/1479547800	CK10.F10_25/1479547800	CK10.F10_29/1479547800	CK10.F10_33/1479547800	CK10.F10_37/1479547800	CK10.F10_41/1479547800	CK10.F10_45/1479547800	CK10.F10_49/1479547800	CK10.F10_53/1479547800	CK10.F10_57/1479547800	CK10.F10_61/1479547800	CK10.F10_65/1479547800	CK10.F10_69/1479547800	N2.F10_99/1479547800	N2.F10_103/1479547800	N2.F10_107/1479547800	N2.F10_111/1479547800	N2.F10_115/1479547800	N2.F10_119/1479547800	N2.F10_123/1479547800	N2.F10_127/1479547800	N2.F10_131/1479547800	N2.F10_135/1479547800	N2.F10_139/1479547800	N2.F10_143/1479547800	N2.F10_147/1479547800	N2.F10_151/1479547800	N2.F10_155/1479547800	N2.F10_159/1479547800	N2.F10_163/1479547800
3	SS104_211/1479547800	SS104_215/1479547800	SS104_219/1479547800	SS104_223/1479547800	SS104_227/1479547800	SS104_231/1479547800	SS104_235/1479547800	SS104_239/1479547800	SS104_243/1479547800	SS104_247/1479547800	SS104_251/1479547800	SS104_255/1479547800	SS104_259/1479547800	SS104_263/1479547800	SS104_267/1479547800	SS104_271/1479547800	SS104_275/1479547800	SS104_279/1479547800	SS104.F10_43/1479547800	SS104.F10_47/1479547800	SS104.F10_51/1479547800	SS104.F10_55/1479547800	SS104.F10_59/1479547800	SS104.F10_63/1479547800	SS104.F10_67/1479547800	SS104.F10_71/1479547800	SS104.F10_75/1479547800	SS104.F10_79/1479547800	SS104.F10_83/1479547800	SS104.F10_87/1479547800	SS104.F10_91/1479547800	SS104.F10_95/1479547800	SS104.F10_99/1479547800	SS104.F10_103/1479547800	SS104.F10_107/1479547800	CK10.F10_2/1479547800	CK10.F10_6/1479547800	CK10.F10_10/1479547800	CK10.F10_14/1479547800	CK10.F10_18/1479547800	CK10.F10_22/1479547800	CK10.F10_26/1479547800	CK10.F10_30/1479547800	CK10.F10_34/1479547800	CK10.F10_38/1479547800	CK10.F10_42/1479547800	CK10.F10_46/1479547800	CK10.F10_50/1479547800	CK10.F10_54/1479547800	CK10.F10_58/1479547800	CK10.F10_62/1479547800	CK10.F10_66/1479547800	CK10.F10_70/1479547800	N2.F10_100/1479547800	N2.F10_104/1479547800	N2.F10_108/1479547800	N2.F10_112/1479547800	N2.F10_116/1479547800	N2.F10_120/1479547800	N2.F10_124/1479547800	N2.F10_128/1479547800	N2.F10_132/1479547800	N2.F10_136/1479547800	N2.F10_140/1479547800	N2.F10_144/1479547800	N2.F10_148/1479547800	N2.F10_152/1479547800	N2.F10_156/1479547800	N2.F10_160/1479547800	N2.F10_164/1479547800
2	SS104_212/1479547800	SS104_216/1479547800	SS104_220/1479547800	SS104_224/1479547800	SS104_228/1479547800	SS104_232/1479547800	SS104_236/1479547800	SS104_240/1479547800	SS104_244/1479547800	SS104_248/1479547800	SS104_252/1479547800	SS104_256/1479547800	SS104_260/1479547800	SS104_264/1479547800	SS104_268/1479547800	SS104_272/1479547800	SS104_276/1479547800	SS104.F10_40/1479547800	SS104.F10_44/1479547800	SS104.F10_48/1479547800	SS104.F10_52/1479547800	SS104.F10_56/1479547800	SS104.F10_60/1479547800	SS104.F10_64/1479547800	SS104.F10_68/1479547800	SS104.F10_72/1479547800	SS104.F10_76/1479547800	SS104.F10_80/1479547800	SS104.F10_84/1479547800	SS104.F10_88/1479547800	SS104.F10_92/1479547800	SS104.F10_96/1479547800	SS104.F10_100/1479547800	SS104.F10_104/1479547800	SS104.F10_108/1479547800	CK10.F10_3/1479547800	CK10.F10_7/1479547800	CK10.F10_11/1479547800	CK10.F10_15/1479547800	CK10.F10_19/1479547800	CK10.F10_23/1479547800	CK10.F10_27/1479547800	CK10.F10_31/1479547800	CK10.F10_35/1479547800	CK10.F10_39/1479547800	CK10.F10_43/1479547800	CK10.F10_47/1479547800	CK10.F10_51/1479547800	CK10.F10_55/1479547800	CK10.F10_59/1479547800	CK10.F10_63/1479547800	CK10.F10_67/1479547800	N2.F10_97/1479547800	N2.F10_101/1479547800	N2.F10_105/1479547800	N2.F10_109/1479547800	N2.F10_113/1479547800	N2.F10_117/1479547800	N2.F10_121/1479547800	N2.F10_125/1479547800	N2.F10_129/1479547800	N2.F10_133/1479547800	N2.F10_137/1479547800	N2.F10_141/1479547800	N2.F10_145/1479547800	N2.F10_149/1479547800	N2.F10_153/1479547800	N2.F10_157/1479547800	N2.F10_161/1479547800	N2.F10_165/1479547800
1	SS104_213/1479547800	SS104_217/1479547800	SS104_221/1479547800	SS104_225/1479547800	SS104_229/1479547800	SS104_233/1479547800	SS104_237/1479547800	SS104_241/1479547800	SS104_245/1479547800	SS104_249/1479547800	SS104_253/1479547800	SS104_257/1479547800	SS104_261/1479547800	SS104_265/1479547800	SS104_269/1479547800	SS104_273/1479547800	SS104_277/1479547800	SS104.F10_41/1479547800	SS104.F10_45/1479547800	SS104.F10_49/1479547800	SS104.F10_53/1479547800	SS104.F10_57/1479547800	SS104.F10_61/1479547800	SS104.F10_65/1479547800	SS104.F10_69/1479547800	SS104.F10_73/1479547800	SS104.F10_77/1479547800	SS104.F10_81/1479547800	SS104.F10_85/1479547800	SS104.F10_89/1479547800	SS104.F10_93/1479547800	SS104.F10_97/1479547800	SS104.F10_101/1479547800	SS104.F10_105/1479547800	SS104.F10_109/1479547800	CK10.F10_4/1479547800	CK10.F10_8/1479547800	CK10.F10_12/1479547800	CK10.F10_16/1479547800	CK10.F10_20/1479547800	CK10.F10_24/1479547800	CK10.F10_28/1479547800	CK10.F10_32/1479547800	CK10.F10_36/1479547800	CK10.F10_40/1479547800	CK10.F10_44/1479547800	CK10.F10_48/1479547800	CK10.F10_52/1479547800	CK10.F10_56/1479547800	CK10.F10_60/1479547800	CK10.F10_64/1479547800	CK10.F10_68/1479547800	N2.F10_98/1479547800	N2.F10_102/1479547800	N2.F10_106/1479547800	N2.F10_110/1479547800	N2.F10_114/1479547800	N2.F10_118/1479547800	N2.F10_122/1479547800	N2.F10_126/1479547800	N2.F10_130/1479547800	N2.F10_134/1479547800	N2.F10_138/1479547800	N2.F10_142/1479547800	N2.F10_146/1479547800	N2.F10_150/1479547800	N2.F10_154/1479547800	N2.F10_158/1479547800	N2.F10_162/1479547800	N2.F10_166/1479547800
