Y,X/Z	1,1	1,2	1,3	1,4	1,5	1,6	1,7	1,8	1,9	1,10	2,1	2,2	2,3	2,4	2,5	2,6	2,7	2,8	2,9	2,10	3,1	3,2	3,3	3,4	3,5	3,6	3,7	3,8	3,9	3,10	4,1	4,2	4,3	4,4	4,5	4,6	4,7	4,8	4,9	4,10	5,1	5,2	5,3	5,4	5,5	5,6	5,7	5,8	5,9	5,10	6,1	6,2	6,3	6,4	6,5	6,6	6,7	6,8	6,9	6,10	7,1	7,2	7,3	7,4	7,5	7,6	7,7	7,8	7,9	7,10
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS104.FUdR.10_1/1472540400	SS104.FUdR.10_5/1472540400	SS104.FUdR.10_9/1472540400	SS104.FUdR.10_13/1472540400	SS104.FUdR.10_17/1472540400	SS104.FUdR.10_21/1472540400	SS104.FUdR.10_25/1472540400	SS104.FUdR.10_29/1472540400	SS104.FUdR.10_33/1472540400	SS104.FUdR.10_37/1472540400	SS104.FUdR.0_1/1472540400	SS104.FUdR.0_5/1472540400	SS104.FUdR.0_9/1472540400	SS104.FUdR.0_13/1472540400	SS104.FUdR.0_17/1472540400	SS104.FUdR.0_21/1472540400	SS104.FUdR.0_25/1472540400	SS104.FUdR.0_29/1472540400	SS104.FUdR.0_33/1472540400	SS104.FUdR.0_37/1472540400	N2.FUdR.old_1/1472540400	N2.FUdR.old_5/1472540400	N2.FUdR.old_9/1472540400	N2.FUdR.old_13/1472540400	N2.FUdR.old_17/1472540400	N2.FUdR.old_21/1472540400	N2.FUdR.old_25/1472540400	N2.FUdR.old_29/1472540400	N2.FUdR.old_33/1472540400	N2.FUdR.old_37/1472540400	N2.FUdR.10_29/1472540400	N2.FUdR.10_33/1472540400	N2.FUdR.10_37/1472540400	N2.FUdR.10_41/1472540400	N2.FUdR.10_45/1472540400	N2.FUdR.10_49/1472540400	N2.FUdR.10_53/1472540400	N2.FUdR.10_57/1472540400	N2.FUdR.10_61/1472540400	N2.FUdR.10_65/1472540400
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS104.FUdR.10_2/1472540400	SS104.FUdR.10_6/1472540400	SS104.FUdR.10_10/1472540400	SS104.FUdR.10_14/1472540400	SS104.FUdR.10_18/1472540400	SS104.FUdR.10_22/1472540400	SS104.FUdR.10_26/1472540400	SS104.FUdR.10_30/1472540400	SS104.FUdR.10_34/1472540400	SS104.FUdR.10_38/1472540400	SS104.FUdR.0_2/1472540400	SS104.FUdR.0_6/1472540400	SS104.FUdR.0_10/1472540400	SS104.FUdR.0_14/1472540400	SS104.FUdR.0_18/1472540400	SS104.FUdR.0_22/1472540400	SS104.FUdR.0_26/1472540400	SS104.FUdR.0_30/1472540400	SS104.FUdR.0_34/1472540400	SS104.FUdR.0_38/1472540400	N2.FUdR.old_2/1472540400	N2.FUdR.old_6/1472540400	N2.FUdR.old_10/1472540400	N2.FUdR.old_14/1472540400	N2.FUdR.old_18/1472540400	N2.FUdR.old_22/1472540400	N2.FUdR.old_26/1472540400	N2.FUdR.old_30/1472540400	N2.FUdR.old_34/1472540400	N2.FUdR.old_38/1472540400	N2.FUdR.10_30/1472540400	N2.FUdR.10_34/1472540400	N2.FUdR.10_38/1472540400	N2.FUdR.10_42/1472540400	N2.FUdR.10_46/1472540400	N2.FUdR.10_50/1472540400	N2.FUdR.10_54/1472540400	N2.FUdR.10_58/1472540400	N2.FUdR.10_62/1472540400	N2.FUdR.10_66/1472540400
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS104.FUdR.10_3/1472540400	SS104.FUdR.10_7/1472540400	SS104.FUdR.10_11/1472540400	SS104.FUdR.10_15/1472540400	SS104.FUdR.10_19/1472540400	SS104.FUdR.10_23/1472540400	SS104.FUdR.10_27/1472540400	SS104.FUdR.10_31/1472540400	SS104.FUdR.10_35/1472540400	SS104.FUdR.10_39/1472540400	SS104.FUdR.0_3/1472540400	SS104.FUdR.0_7/1472540400	SS104.FUdR.0_11/1472540400	SS104.FUdR.0_15/1472540400	SS104.FUdR.0_19/1472540400	SS104.FUdR.0_23/1472540400	SS104.FUdR.0_27/1472540400	SS104.FUdR.0_31/1472540400	SS104.FUdR.0_35/1472540400	SS104.FUdR.0_39/1472540400	N2.FUdR.old_3/1472540400	N2.FUdR.old_7/1472540400	N2.FUdR.old_11/1472540400	N2.FUdR.old_15/1472540400	N2.FUdR.old_19/1472540400	N2.FUdR.old_23/1472540400	N2.FUdR.old_27/1472540400	N2.FUdR.old_31/1472540400	N2.FUdR.old_35/1472540400	N2.FUdR.old_39/1472540400	N2.FUdR.10_31/1472540400	N2.FUdR.10_35/1472540400	N2.FUdR.10_39/1472540400	N2.FUdR.10_43/1472540400	N2.FUdR.10_47/1472540400	N2.FUdR.10_51/1472540400	N2.FUdR.10_55/1472540400	N2.FUdR.10_59/1472540400	N2.FUdR.10_63/1472540400	N2.FUdR.10_67/1472540400
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS104.FUdR.10_4/1472540400	SS104.FUdR.10_8/1472540400	SS104.FUdR.10_12/1472540400	SS104.FUdR.10_16/1472540400	SS104.FUdR.10_20/1472540400	SS104.FUdR.10_24/1472540400	SS104.FUdR.10_28/1472540400	SS104.FUdR.10_32/1472540400	SS104.FUdR.10_36/1472540400	SS104.FUdR.10_40/1472540400	SS104.FUdR.0_4/1472540400	SS104.FUdR.0_8/1472540400	SS104.FUdR.0_12/1472540400	SS104.FUdR.0_16/1472540400	SS104.FUdR.0_20/1472540400	SS104.FUdR.0_24/1472540400	SS104.FUdR.0_28/1472540400	SS104.FUdR.0_32/1472540400	SS104.FUdR.0_36/1472540400	SS104.FUdR.0_40/1472540400	N2.FUdR.old_4/1472540400	N2.FUdR.old_8/1472540400	N2.FUdR.old_12/1472540400	N2.FUdR.old_16/1472540400	N2.FUdR.old_20/1472540400	N2.FUdR.old_24/1472540400	N2.FUdR.old_28/1472540400	N2.FUdR.old_32/1472540400	N2.FUdR.old_36/1472540400	N2.FUdR.old_40/1472540400	N2.FUdR.10_32/1472540400	N2.FUdR.10_36/1472540400	N2.FUdR.10_40/1472540400	N2.FUdR.10_44/1472540400	N2.FUdR.10_48/1472540400	N2.FUdR.10_52/1472540400	N2.FUdR.10_56/1472540400	N2.FUdR.10_60/1472540400	N2.FUdR.10_64/1472540400	N2.FUdR.10_68/1472540400
