Y,X/Z	1,1	1,2	1,3	1,4	1,5	1,6	1,7	1,8	1,9	1,10	2,1	2,2	2,3	2,4	2,5	2,6	2,7	2,8	2,9	2,10	3,1	3,2	3,3	3,4	3,5	3,6	3,7	3,8	3,9	3,10	4,1	4,2	4,3	4,4	4,5	4,6	4,7	4,8	4,9	4,10	5,1	5,2	5,3	5,4	5,5	5,6	5,7	5,8	5,9	5,10	6,1	6,2	6,3	6,4	6,5	6,6	6,7	6,8	6,9	6,10	7,1	7,2	7,3	7,4	7,5	7,6	7,7	7,8	7,9	7,10
4	IFP196_1/1462239900	IFP196_5/1462239900	IFP196_9/1462239900	IFP196_13/1462239900	IFP196_17/1462239900	IFP196_21/1462239900	IFP196_25/1462239900	IFP196_29/1462239900	IFP196_33/1462239900	IFP196_37/1462239900	IFP196_41/1462239900	IFP196_45/1462239900	IFP196_49/1462239900	IFP196_53/1462239900	IFP196_57/1462239900	IFP196_61/1462239900	IFP196_65/1462239900	IFP196_69/1462239900	IFP197_3/1462239900	IFP197_7/1462239900	IFP197_11/1462239900	IFP197_15/1462239900	IFP197_19/1462239900	IFP197_23/1462239900	IFP197_27/1462239900	IFP197_31/1462239900	IFP197_35/1462239900	IFP197_39/1462239900	IFP197_43/1462239900	IFP197_47/1462239900	IFP197_51/1462239900	IFP197_55/1462239900	IFP197_59/1462239900	IFP197_63/1462239900	IFP197_67/1462239900	IFP208_1/1462239900	IFP208_5/1462239900	IFP208_9/1462239900	IFP208_13/1462239900	IFP208_17/1462239900	IFP208_21/1462239900	IFP208_25/1462239900	IFP208_29/1462239900	IFP208_33/1462239900	IFP208_37/1462239900	IFP208_41/1462239900	IFP208_45/1462239900	IFP208_49/1462239900	IFP208_53/1462239900	IFP208_57/1462239900	IFP208_61/1462239900	IFP208_65/1462239900	IFP208_69/1462239900	IFP223_3/1462239900	IFP223_7/1462239900	IFP223_11/1462239900	IFP223_15/1462239900	IFP223_19/1462239900	IFP223_23/1462239900	IFP223_27/1462239900	IFP223_31/1462239900	IFP223_35/1462239900	IFP223_39/1462239900	IFP223_43/1462239900	IFP223_47/1462239900	IFP223_51/1462239900	IFP223_55/1462239900	IFP223_59/1462239900	IFP223_63/1462239900	IFP223_67/1462239900
3	IFP196_2/1462239900	IFP196_6/1462239900	IFP196_10/1462239900	IFP196_14/1462239900	IFP196_18/1462239900	IFP196_22/1462239900	IFP196_26/1462239900	IFP196_30/1462239900	IFP196_34/1462239900	IFP196_38/1462239900	IFP196_42/1462239900	IFP196_46/1462239900	IFP196_50/1462239900	IFP196_54/1462239900	IFP196_58/1462239900	IFP196_62/1462239900	IFP196_66/1462239900	IFP196_70/1462239900	IFP197_4/1462239900	IFP197_8/1462239900	IFP197_12/1462239900	IFP197_16/1462239900	IFP197_20/1462239900	IFP197_24/1462239900	IFP197_28/1462239900	IFP197_32/1462239900	IFP197_36/1462239900	IFP197_40/1462239900	IFP197_44/1462239900	IFP197_48/1462239900	IFP197_52/1462239900	IFP197_56/1462239900	IFP197_60/1462239900	IFP197_64/1462239900	IFP197_68/1462239900	IFP208_2/1462239900	IFP208_6/1462239900	IFP208_10/1462239900	IFP208_14/1462239900	IFP208_18/1462239900	IFP208_22/1462239900	IFP208_26/1462239900	IFP208_30/1462239900	IFP208_34/1462239900	IFP208_38/1462239900	IFP208_42/1462239900	IFP208_46/1462239900	IFP208_50/1462239900	IFP208_54/1462239900	IFP208_58/1462239900	IFP208_62/1462239900	IFP208_66/1462239900	IFP208_70/1462239900	IFP223_4/1462239900	IFP223_8/1462239900	IFP223_12/1462239900	IFP223_16/1462239900	IFP223_20/1462239900	IFP223_24/1462239900	IFP223_28/1462239900	IFP223_32/1462239900	IFP223_36/1462239900	IFP223_40/1462239900	IFP223_44/1462239900	IFP223_48/1462239900	IFP223_52/1462239900	IFP223_56/1462239900	IFP223_60/1462239900	IFP223_64/1462239900	IFP223_68/1462239900
2	IFP196_3/1462239900	IFP196_7/1462239900	IFP196_11/1462239900	IFP196_15/1462239900	IFP196_19/1462239900	IFP196_23/1462239900	IFP196_27/1462239900	IFP196_31/1462239900	IFP196_35/1462239900	IFP196_39/1462239900	IFP196_43/1462239900	IFP196_47/1462239900	IFP196_51/1462239900	IFP196_55/1462239900	IFP196_59/1462239900	IFP196_63/1462239900	IFP196_67/1462239900	IFP197_1/1462239900	IFP197_5/1462239900	IFP197_9/1462239900	IFP197_13/1462239900	IFP197_17/1462239900	IFP197_21/1462239900	IFP197_25/1462239900	IFP197_29/1462239900	IFP197_33/1462239900	IFP197_37/1462239900	IFP197_41/1462239900	IFP197_45/1462239900	IFP197_49/1462239900	IFP197_53/1462239900	IFP197_57/1462239900	IFP197_61/1462239900	IFP197_65/1462239900	IFP197_69/1462239900	IFP208_3/1462239900	IFP208_7/1462239900	IFP208_11/1462239900	IFP208_15/1462239900	IFP208_19/1462239900	IFP208_23/1462239900	IFP208_27/1462239900	IFP208_31/1462239900	IFP208_35/1462239900	IFP208_39/1462239900	IFP208_43/1462239900	IFP208_47/1462239900	IFP208_51/1462239900	IFP208_55/1462239900	IFP208_59/1462239900	IFP208_63/1462239900	IFP208_67/1462239900	IFP223_1/1462239900	IFP223_5/1462239900	IFP223_9/1462239900	IFP223_13/1462239900	IFP223_17/1462239900	IFP223_21/1462239900	IFP223_25/1462239900	IFP223_29/1462239900	IFP223_33/1462239900	IFP223_37/1462239900	IFP223_41/1462239900	IFP223_45/1462239900	IFP223_49/1462239900	IFP223_53/1462239900	IFP223_57/1462239900	IFP223_61/1462239900	IFP223_65/1462239900	IFP223_69/1462239900
1	IFP196_4/1462239900	IFP196_8/1462239900	IFP196_12/1462239900	IFP196_16/1462239900	IFP196_20/1462239900	IFP196_24/1462239900	IFP196_28/1462239900	IFP196_32/1462239900	IFP196_36/1462239900	IFP196_40/1462239900	IFP196_44/1462239900	IFP196_48/1462239900	IFP196_52/1462239900	IFP196_56/1462239900	IFP196_60/1462239900	IFP196_64/1462239900	IFP196_68/1462239900	IFP197_2/1462239900	IFP197_6/1462239900	IFP197_10/1462239900	IFP197_14/1462239900	IFP197_18/1462239900	IFP197_22/1462239900	IFP197_26/1462239900	IFP197_30/1462239900	IFP197_34/1462239900	IFP197_38/1462239900	IFP197_42/1462239900	IFP197_46/1462239900	IFP197_50/1462239900	IFP197_54/1462239900	IFP197_58/1462239900	IFP197_62/1462239900	IFP197_66/1462239900	IFP197_70/1462239900	IFP208_4/1462239900	IFP208_8/1462239900	IFP208_12/1462239900	IFP208_16/1462239900	IFP208_20/1462239900	IFP208_24/1462239900	IFP208_28/1462239900	IFP208_32/1462239900	IFP208_36/1462239900	IFP208_40/1462239900	IFP208_44/1462239900	IFP208_48/1462239900	IFP208_52/1462239900	IFP208_56/1462239900	IFP208_60/1462239900	IFP208_64/1462239900	IFP208_68/1462239900	IFP223_2/1462239900	IFP223_6/1462239900	IFP223_10/1462239900	IFP223_14/1462239900	IFP223_18/1462239900	IFP223_22/1462239900	IFP223_26/1462239900	IFP223_30/1462239900	IFP223_34/1462239900	IFP223_38/1462239900	IFP223_42/1462239900	IFP223_46/1462239900	IFP223_50/1462239900	IFP223_54/1462239900	IFP223_58/1462239900	IFP223_62/1462239900	IFP223_66/1462239900	IFP223_70/1462239900
