Y,X/Z	1,1	1,2	1,3	1,4	1,5	1,6	1,7	1,8	1,9	1,10	2,1	2,2	2,3	2,4	2,5	2,6	2,7	2,8	2,9	2,10	3,1	3,2	3,3	3,4	3,5	3,6	3,7	3,8	3,9	3,10	4,1	4,2	4,3	4,4	4,5	4,6	4,7	4,8	4,9	4,10	5,1	5,2	5,3	5,4	5,5	5,6	5,7	5,8	5,9	5,10	6,1	6,2	6,3	6,4	6,5	6,6	6,7	6,8	6,9	6,10	7,1	7,2	7,3	7,4	7,5	7,6	7,7	7,8	7,9	7,10
4	IFP134_109/1449086400	IFP134_113/1449086400	IFP134_117/1449086400	IFP134_121/1449086400	IFP134_125/1449086400	IFP134_129/1449086400	IFP134_133/1449086400	IFP134_137/1449086400	IFP134_141/1449086400	IFP134_145/1449086400	IFP134_149/1449086400	IFP134_153/1449086400	IFP134_157/1449086400	IFP134_161/1449086400	IFP134_165/1449086400	IFP134_169/1449086400	IFP134_173/1449086400	IFP134_177/1449086400	IFP143_3/1449086400	IFP143_7/1449086400	IFP143_11/1449086400	IFP143_15/1449086400	IFP143_19/1449086400	IFP143_23/1449086400	IFP143_27/1449086400	IFP143_31/1449086400	IFP143_35/1449086400	IFP143_39/1449086400	IFP143_43/1449086400	IFP143_47/1449086400	IFP143_51/1449086400	IFP143_55/1449086400	IFP143_59/1449086400	IFP143_63/1449086400	IFP143_67/1449086400	SS104_140/1449086400	SS104_144/1449086400	SS104_148/1449086400	SS104_152/1449086400	SS104_156/1449086400	SS104_160/1449086400	SS104_164/1449086400	SS104_168/1449086400	SS104_172/1449086400	SS104_176/1449086400	SS104_180/1449086400	SS104_184/1449086400	SS104_188/1449086400	SS104_192/1449086400	SS104_196/1449086400	SS104_200/1449086400	SS104_204/1449086400	SS104_208/1449086400	IFP177_3/1449086400	IFP177_7/1449086400	IFP177_11/1449086400	IFP177_15/1449086400	IFP177_19/1449086400	IFP177_23/1449086400	IFP177_27/1449086400	IFP177_31/1449086400	IFP177_35/1449086400	IFP177_39/1449086400	IFP177_43/1449086400	IFP177_47/1449086400	IFP177_51/1449086400	IFP177_55/1449086400	IFP177_59/1449086400	IFP177_63/1449086400	IFP177_67/1449086400
3	IFP134_110/1449086400	IFP134_114/1449086400	IFP134_118/1449086400	IFP134_122/1449086400	IFP134_126/1449086400	IFP134_130/1449086400	IFP134_134/1449086400	IFP134_138/1449086400	IFP134_142/1449086400	IFP134_146/1449086400	IFP134_150/1449086400	IFP134_154/1449086400	IFP134_158/1449086400	IFP134_162/1449086400	IFP134_166/1449086400	IFP134_170/1449086400	IFP134_174/1449086400	IFP134_178/1449086400	IFP143_4/1449086400	IFP143_8/1449086400	IFP143_12/1449086400	IFP143_16/1449086400	IFP143_20/1449086400	IFP143_24/1449086400	IFP143_28/1449086400	IFP143_32/1449086400	IFP143_36/1449086400	IFP143_40/1449086400	IFP143_44/1449086400	IFP143_48/1449086400	IFP143_52/1449086400	IFP143_56/1449086400	IFP143_60/1449086400	IFP143_64/1449086400	IFP143_68/1449086400	SS104_141/1449086400	SS104_145/1449086400	SS104_149/1449086400	SS104_153/1449086400	SS104_157/1449086400	SS104_161/1449086400	SS104_165/1449086400	SS104_169/1449086400	SS104_173/1449086400	SS104_177/1449086400	SS104_181/1449086400	SS104_185/1449086400	SS104_189/1449086400	SS104_193/1449086400	SS104_197/1449086400	SS104_201/1449086400	SS104_205/1449086400	SS104_209/1449086400	IFP177_4/1449086400	IFP177_8/1449086400	IFP177_12/1449086400	IFP177_16/1449086400	IFP177_20/1449086400	IFP177_24/1449086400	IFP177_28/1449086400	IFP177_32/1449086400	IFP177_36/1449086400	IFP177_40/1449086400	IFP177_44/1449086400	IFP177_48/1449086400	IFP177_52/1449086400	IFP177_56/1449086400	IFP177_60/1449086400	IFP177_64/1449086400	IFP177_68/1449086400
2	IFP134_111/1449086400	IFP134_115/1449086400	IFP134_119/1449086400	IFP134_123/1449086400	IFP134_127/1449086400	IFP134_131/1449086400	IFP134_135/1449086400	IFP134_139/1449086400	IFP134_143/1449086400	IFP134_147/1449086400	IFP134_151/1449086400	IFP134_155/1449086400	IFP134_159/1449086400	IFP134_163/1449086400	IFP134_167/1449086400	IFP134_171/1449086400	IFP134_175/1449086400	IFP143_1/1449086400	IFP143_5/1449086400	IFP143_9/1449086400	IFP143_13/1449086400	IFP143_17/1449086400	IFP143_21/1449086400	IFP143_25/1449086400	IFP143_29/1449086400	IFP143_33/1449086400	IFP143_37/1449086400	IFP143_41/1449086400	IFP143_45/1449086400	IFP143_49/1449086400	IFP143_53/1449086400	IFP143_57/1449086400	IFP143_61/1449086400	IFP143_65/1449086400	IFP143_69/1449086400	SS104_142/1449086400	SS104_146/1449086400	SS104_150/1449086400	SS104_154/1449086400	SS104_158/1449086400	SS104_162/1449086400	SS104_166/1449086400	SS104_170/1449086400	SS104_174/1449086400	SS104_178/1449086400	SS104_182/1449086400	SS104_186/1449086400	SS104_190/1449086400	SS104_194/1449086400	SS104_198/1449086400	SS104_202/1449086400	SS104_206/1449086400	IFP177_1/1449086400	IFP177_5/1449086400	IFP177_9/1449086400	IFP177_13/1449086400	IFP177_17/1449086400	IFP177_21/1449086400	IFP177_25/1449086400	IFP177_29/1449086400	IFP177_33/1449086400	IFP177_37/1449086400	IFP177_41/1449086400	IFP177_45/1449086400	IFP177_49/1449086400	IFP177_53/1449086400	IFP177_57/1449086400	IFP177_61/1449086400	IFP177_65/1449086400	IFP177_69/1449086400
1	IFP134_112/1449086400	IFP134_116/1449086400	IFP134_120/1449086400	IFP134_124/1449086400	IFP134_128/1449086400	IFP134_132/1449086400	IFP134_136/1449086400	IFP134_140/1449086400	IFP134_144/1449086400	IFP134_148/1449086400	IFP134_152/1449086400	IFP134_156/1449086400	IFP134_160/1449086400	IFP134_164/1449086400	IFP134_168/1449086400	IFP134_172/1449086400	IFP134_176/1449086400	IFP143_2/1449086400	IFP143_6/1449086400	IFP143_10/1449086400	IFP143_14/1449086400	IFP143_18/1449086400	IFP143_22/1449086400	IFP143_26/1449086400	IFP143_30/1449086400	IFP143_34/1449086400	IFP143_38/1449086400	IFP143_42/1449086400	IFP143_46/1449086400	IFP143_50/1449086400	IFP143_54/1449086400	IFP143_58/1449086400	IFP143_62/1449086400	IFP143_66/1449086400	IFP143_70/1449086400	SS104_143/1449086400	SS104_147/1449086400	SS104_151/1449086400	SS104_155/1449086400	SS104_159/1449086400	SS104_163/1449086400	SS104_167/1449086400	SS104_171/1449086400	SS104_175/1449086400	SS104_179/1449086400	SS104_183/1449086400	SS104_187/1449086400	SS104_191/1449086400	SS104_195/1449086400	SS104_199/1449086400	SS104_203/1449086400	SS104_207/1449086400	IFP177_2/1449086400	IFP177_6/1449086400	IFP177_10/1449086400	IFP177_14/1449086400	IFP177_18/1449086400	IFP177_22/1449086400	IFP177_26/1449086400	IFP177_30/1449086400	IFP177_34/1449086400	IFP177_38/1449086400	IFP177_42/1449086400	IFP177_46/1449086400	IFP177_50/1449086400	IFP177_54/1449086400	IFP177_58/1449086400	IFP177_62/1449086400	IFP177_66/1449086400	IFP177_70/1449086400
